id_solicitante,id_solicitacao_emprestimo,id_historico_banco,id_solicitante,idade,salario,situacao_imovel,tempo_trabalho,id_solicitacao_emprestimo,motivo,pontuacao,valor_total_solicitado,taxa_juros,possibilidade_inadimplencia,renda_percentual,id_historico_banco,inadiplencia_anteior,tempo_primeira_solicitacao
kRHnuMNM-64K3,9RqGiFzp-HnBL,gygsUZSw-79bT,kRHnuMNM-64K3,31,72250,Outros,6,9RqGiFzp-HnBL,"Medico ",F,25000,17.03,1,0.29,gygsUZSw-79bT,S,5
uibGCsfz-Ckan,ppcT0kM2-xeaD,d8SYuDlD-1hxK,uibGCsfz-Ckan,28,31200,Aluguel,5,ppcT0kM2-xeaD,"Medico ",B,15000,11.83,1,0.48,d8SYuDlD-1hxK,N,9
yrL27Gzn-imvW,zjwERmLe-r97O,uQdCArAk-ISO3,yrL27Gzn-imvW,31,65000,Hipoteca,3,zjwERmLe-r97O,Pagamento_debitos,A,10000,11.03,NULL,NULL,uQdCArAk-ISO3,N,3
WOKqy5xS-HwK0,crrA9Z57-nLgE,PjRmHkEW-a57F,WOKqy5xS-HwK0,22,29100,Aluguel,2,crrA9Z57-nLgE,"Pessoal ",D,6250,16.07,1,0.21,PjRmHkEW-a57F,S,3
xSghh8QG-lqvd,QlcSw2B2-DFpZ,km4kGepq-bsil,xSghh8QG-lqvd,21,18000,Aluguel,1,QlcSw2B2-DFpZ,"Pessoal ",A,3200,8.49,1,0.18,km4kGepq-bsil,N,3
L4tJfeUK-oUnj,23YEIwxM-kuzf,vDW1x0Bt-YB8W,L4tJfeUK-oUnj,27,108000,Hipoteca,11,23YEIwxM-kuzf,Pagamento_debitos,D,25000,14.96,1,0.23,vDW1x0Bt-YB8W,S,9
1PlUc0s7-34sy,kHGYRJS1-zX72,cnsI41OI-cHxY,1PlUc0s7-34sy,24,87996,Aluguel,8,kHGYRJS1-zX72,Pagamento_debitos,D,10000,14.84,1,0.11,cnsI41OI-cHxY,S,2
KLcpYROU-OAOY,5e5poCmS-XDCu,cNMJ267m-tQI2,KLcpYROU-OAOY,27,75860,Aluguel,9,5e5poCmS-XDCu,"Medico ",B,24000,10.99,1,0.32,cNMJ267m-tQI2,N,5
WS5U2tKu-iGtE,nZJqWH9s-yKAW,fJ0KRNk3-k0Rx,WS5U2tKu-iGtE,22,43000,Aluguel,1,nZJqWH9s-yKAW,"Empreendimento ",D,7500,14.96,1,0.17,fJ0KRNk3-k0Rx,N,3
JUFNPjwk-aC8W,5ojlBSwG-GKI8,43JjwnEd-i6oe,JUFNPjwk-aC8W,30,30000,Aluguel,1,5ojlBSwG-GKI8,"Pessoal ",B,14500,NULL,1,0.48,43JjwnEd-i6oe,N,8
wD9y60rl-UJQh,FzeqsUSQ-td2e,nYo1wal8-ei17,wD9y60rl-UJQh,32,91800,Hipoteca,8,FzeqsUSQ-td2e,"Medico ",E,24625,14.07,1,0.23,nYo1wal8-ei17,S,7
Ae2Iso56-MPL9,3OGldMkq-IpdO,0XwiAmtf-YOjt,Ae2Iso56-MPL9,24,100000,Aluguel,5,3OGldMkq-IpdO,Melhora_lar,A,NULL,13.85,NULL,0.08,0XwiAmtf-YOjt,S,6
lauNZJlQ-u39w,yq8ssxtb-RyWb,ILjwWhKD-ROA4,lauNZJlQ-u39w,23,44400,Aluguel,2,yq8ssxtb-RyWb,Pagamento_debitos,A,7100,6.99,1,0.16,ILjwWhKD-ROA4,N,3
CT45wQp5-9DAW,D5DtOeaN-b1zk,OQDzEmNu-8Xca,CT45wQp5-9DAW,24,70000,Hipoteca,8,D5DtOeaN-b1zk,"Empreendimento ",A,18050,10,NULL,NULL,OQDzEmNu-8Xca,N,7
5mRksQM9-eExJ,EWKeCA52-k771,AE9jiGaA-WlNL,5mRksQM9-eExJ,23,35500,Aluguel,2,EWKeCA52-k771,Melhora_lar,D,9000,15.99,1,0.25,AE9jiGaA-WlNL,S,2
Ej9Zd67P-FDr8,4htLU98v-aNhT,GoQ5GdDH-5FG6,Ej9Zd67P-FDr8,22,50000,Aluguel,6,4htLU98v-aNhT,"Empreendimento ",C,18000,13.79,1,0.36,GoQ5GdDH-5FG6,N,2
SnrbfMiJ-cAj7,uPPLniuT-Inpn,nnYZCAfP-PPND,SnrbfMiJ-cAj7,23,44400,Aluguel,4,uPPLniuT-Inpn,"Empreendimento ",D,5000,16.29,1,0.11,nnYZCAfP-PPND,S,4
DHFQCaZ6-efIB,8KwoXehU-8ihO,3lC5fUi0-vSJ6,DHFQCaZ6-efIB,22,41000,Hipoteca,6,8KwoXehU-8ihO,Melhora_lar,A,7000,7.9,1,0.17,3lC5fUi0-vSJ6,N,2
C3wGmChB-h9aJ,5mgZTuy1-8Qzw,sL5cZZwn-xWhB,C3wGmChB-h9aJ,21,44000,Aluguel,6,5mgZTuy1-8Qzw,"Educativo ",D,8000,15.21,1,0.18,sL5cZZwn-xWhB,N,2
F0L9G9WG-mRPJ,WBTK7Tsq-dS5c,LIRU0Gft-icm1,F0L9G9WG-mRPJ,24,68000,Hipoteca,7,WBTK7Tsq-dS5c,"Educativo ",A,5000,11.86,NULL,NULL,LIRU0Gft-icm1,N,10
PuHablXS-Hxuw,owRMcEkb-PjFz,5GUaEeuo-X55y,PuHablXS-Hxuw,28,47004,Hipoteca,12,owRMcEkb-PjFz,"Pessoal ",C,10000,13.61,1,0.21,5GUaEeuo-X55y,S,6
MQphIdqY-DDI4,GM5QsbmU-dpqh,XKYWTX1z-wWM0,MQphIdqY-DDI4,25,47000,Aluguel,9,GM5QsbmU-dpqh,Melhora_lar,D,19750,15.7,1,0.42,XKYWTX1z-wWM0,N,4
DKUmvKQa-CgUh,Xv1oeB8m-DxF3,o3SnTKo1-885k,DKUmvKQa-CgUh,33,34000,Aluguel,17,Xv1oeB8m-DxF3,Pagamento_debitos,D,11175,14.96,1,0.33,o3SnTKo1-885k,N,8
tE2MMb33-ZtT7,j6eaWF98-rxdq,oJM66DQo-WPHF,tE2MMb33-ZtT7,34,89000,Aluguel,3,j6eaWF98-rxdq,Melhora_lar,D,35000,18.25,1,0.39,oJM66DQo-WPHF,N,8
Axshj3aE-So3M,MdihKa93-YLpP,W2X5wyRc-cm5B,Axshj3aE-So3M,23,54000,Aluguel,7,MdihKa93-YLpP,"Educativo ",C,5000,12.84,1,0.09,W2X5wyRc-cm5B,S,2
DyBB8Cp2-QhqM,xYMD3yPU-9lWZ,QzBLOCnr-SR1R,DyBB8Cp2-QhqM,24,50000,Aluguel,8,xYMD3yPU-9lWZ,"Empreendimento ",B,16000,10.62,1,0.32,QzBLOCnr-SR1R,N,2
wCxMe3HK-N1vQ,TRkIZFSl-FggZ,FXn0CHYr-2Hh6,wCxMe3HK-N1vQ,34,42000,Aluguel,5,TRkIZFSl-FggZ,"Medico ",A,18825,7.9,1,0.45,FXn0CHYr-2Hh6,N,9
RWyFarvs-XYQX,IjW3GEpE-XMbn,ltChIKnS-Plum,RWyFarvs-XYQX,30,39000,Aluguel,NULL,IjW3GEpE-XMbn,Pagamento_debitos,A,1500,7.51,1,0.04,ltChIKnS-Plum,N,9
ocMtL5Rv-hwIv,3tftvIMw-X1rU,1MjNFD4p-pM2T,ocMtL5Rv-hwIv,25,46800,Aluguel,5,3tftvIMw-X1rU,Melhora_lar,C,12000,13.11,1,0.26,1MjNFD4p-pM2T,S,4
yuc3qfdx-Onja,4kkDYjoH-lbFt,401KANYb-30fK,yuc3qfdx-Onja,27,91800,Hipoteca,4,4kkDYjoH-lbFt,"Medico ",D,25000,16.07,1,0.23,401KANYb-30fK,N,9
X903mTEJ-9dWf,JOZcDbCE-kmRc,03are8os-KRAX,X903mTEJ-9dWf,37,35000,Aluguel,5,JOZcDbCE-kmRc,"Medico ",A,4000,9.32,1,0.11,03are8os-KRAX,N,16
y8p9IhYh-HWOZ,LjhCZI6K-fN9l,iqNHAGy9-AK1P,y8p9IhYh-HWOZ,24,44000,Aluguel,1,LjhCZI6K-fN9l,"Empreendimento ",D,10000,NULL,1,0.23,iqNHAGy9-AK1P,S,3
9NbWLZYG-sM7a,ZaA2B0qh-KGAw,SdUzuD36-cEhE,9NbWLZYG-sM7a,22,20008,Aluguel,2,ZaA2B0qh-KGAw,"Educativo ",B,10000,10.95,1,0.5,SdUzuD36-cEhE,N,2
tRF1wZ55-Z7Ko,r6J3pnRp-Q4J5,I268JN3h-g1CY,tRF1wZ55-Z7Ko,52,NULL,Hipoteca,6,r6J3pnRp-Q4J5,"Pessoal ",B,7000,NULL,1,0.13,I268JN3h-g1CY,S,12
nlgQ2mjj-cW7Q,ppL2I9xU-NMDl,9q03rPJu-sHbx,nlgQ2mjj-cW7Q,28,47000,Hipoteca,5,ppL2I9xU-NMDl,Melhora_lar,B,6000,8.88,1,0.13,9q03rPJu-sHbx,N,6
SDSk8Xhv-NdaW,qbvc29nj-3WpO,nEDp6Swl-1U5I,SDSk8Xhv-NdaW,34,69600,Aluguel,10,qbvc29nj-3WpO,"Empreendimento ",A,22650,NULL,1,0.33,nEDp6Swl-1U5I,N,6
51HJ4SxY-rbyp,zj6Jvng9-1CXz,fmEA0lMY-JZFc,51HJ4SxY-rbyp,24,39000,Aluguel,3,zj6Jvng9-1CXz,"Educativo ",A,1500,8.49,1,0.04,fmEA0lMY-JZFc,N,3
AnRdR6bU-SWBh,ZndGjDc7-fHCr,2XL7aKrx-9231,AnRdR6bU-SWBh,21,36140,Aluguel,5,ZndGjDc7-fHCr,"Educativo ",A,9000,8.94,1,0.25,2XL7aKrx-9231,N,2
aDePz3n3-XgSU,I5kQnZGr-OU62,17Efjazr-1Eke,aDePz3n3-XgSU,27,34000,Aluguel,4,I5kQnZGr-OU62,"Medico ",G,14000,19.82,1,0.41,17Efjazr-1Eke,N,10
byqNuvCR-wCl2,Lr5SHeZM-aUub,DGGIKUXv-IK29,byqNuvCR-wCl2,33,24000,Aluguel,NULL,Lr5SHeZM-aUub,Pagamento_debitos,D,1000,14.91,1,0.04,DGGIKUXv-IK29,S,10
JIlR1RIs-NRoz,QY1714Zy-XPot,KiSuIUYv-e7mK,JIlR1RIs-NRoz,21,50000,Aluguel,2,QY1714Zy-XPot,"Educativo ",D,18000,14.74,1,0.36,KiSuIUYv-e7mK,N,2
eEKOajo3-Ko2T,p5XnJF7g-KGmF,90EzPSPz-CogJ,eEKOajo3-Ko2T,23,36000,Hipoteca,7,p5XnJF7g-KGmF,Melhora_lar,B,6725,11.49,1,0.19,90EzPSPz-CogJ,N,2
cTDz17U9-opsU,I2apZ8Lj-bzS9,nXUKnwZO-T6qG,cTDz17U9-opsU,38,48000,Hipoteca,23,I2apZ8Lj-bzS9,"Medico ",D,9000,15.21,1,0.19,nXUKnwZO-T6qG,S,15
Xh97SmmR-T8tM,DXyOidv7-gdbk,eHQDoQMi-dat8,Xh97SmmR-T8tM,24,54500,Hipoteca,7,DXyOidv7-gdbk,"Medico ",D,8000,17.49,1,0.15,eHQDoQMi-dat8,N,4
F8dcE07I-JSyn,ujUEkIBx-qq7C,UowSa7cN-Njmb,F8dcE07I-JSyn,25,52000,Aluguel,1,ujUEkIBx-qq7C,"Educativo ",B,20000,11.36,1,0.38,UowSa7cN-Njmb,N,4
q1bh1c3G-nBmk,qO1T9C2A-pkDg,3XmDm6nt-uwHO,q1bh1c3G-nBmk,27,49500,Hipoteca,7,qO1T9C2A-pkDg,"Empreendimento ",C,4750,15.27,1,0.1,3XmDm6nt-uwHO,N,7
qh4GBaHo-nCri,YQOlZ2vp-DAGy,u1wLbeMz-xU2r,qh4GBaHo-nCri,21,31200,Aluguel,1,YQOlZ2vp-DAGy,Pagamento_debitos,D,6000,16.89,1,0.19,u1wLbeMz-xU2r,N,3
SjU61N77-1oa1,PO1kHAdl-Q1Cx,u8G8FpOz-Jnav,SjU61N77-1oa1,21,46000,Aluguel,2,PO1kHAdl-Q1Cx,"Pessoal ",D,5200,17.27,1,0.11,u8G8FpOz-Jnav,S,3
MKM7QJze-OyuM,ct6W8N79-J8vq,T5OBOp5W-rW6G,MKM7QJze-OyuM,25,54000,Hipoteca,9,ct6W8N79-J8vq,Pagamento_debitos,B,12000,12.53,1,0.22,T5OBOp5W-rW6G,N,4
mkJAQK0M-U2mm,0vGenoEb-eXej,p6BebspM-LiJH,mkJAQK0M-U2mm,24,42000,Aluguel,2,0vGenoEb-eXej,"Educativo ",C,4800,15.23,1,0.11,p6BebspM-LiJH,S,2
ZW6peJmZ-zuKe,h0sMk4Ki-KRNr,PND19UWb-czty,ZW6peJmZ-zuKe,35,59000,Aluguel,5,h0sMk4Ki-KRNr,"Pessoal ",C,10000,13.49,1,0.17,PND19UWb-czty,S,10
iGrAFwIx-0cQQ,7PL7CQfY-KDO6,9wM9NIcS-StHF,iGrAFwIx-0cQQ,26,28800,Aluguel,10,7PL7CQfY-KDO6,"Medico ",B,15000,10,1,0.52,9wM9NIcS-StHF,N,3
ATWus0Mh-PWQ9,aEUb2M00-eset,uhq86SCF-D8eP,ATWus0Mh-PWQ9,23,34320,Aluguel,5,aEUb2M00-eset,Pagamento_debitos,F,7000,18.3,1,0.2,uhq86SCF-D8eP,S,3
LsyN5b4Z-XzFG,LjMbzTjl-U0LR,rcO7KQXw-7h6n,LsyN5b4Z-XzFG,21,19968,Aluguel,4,LjMbzTjl-U0LR,"Medico ",C,5000,NULL,1,0.25,rcO7KQXw-7h6n,N,3
6b2w9ujK-f93t,ITuk3QGM-22Ye,ziZMe43g-D9J9,6b2w9ujK-f93t,23,44000,Aluguel,7,ITuk3QGM-22Ye,"Medico ",C,9800,13.11,1,0.22,ziZMe43g-D9J9,N,2
4ndUUTH8-3D3O,047e829O-Ujl5,H5gtfQdR-OTGk,4ndUUTH8-3D3O,23,33500,Aluguel,2,047e829O-Ujl5,"Educativo ",E,2500,15.68,1,0.07,H5gtfQdR-OTGk,S,4
Wv23TsM5-AzWi,ncAdWNSA-A6lA,iKmrygwg-T16d,Wv23TsM5-AzWi,40,13273,Aluguel,3,ncAdWNSA-A6lA,Pagamento_debitos,B,3850,9.99,1,0.29,iKmrygwg-T16d,N,12
j0vwErh0-pUfx,tLkf40md-OWsZ,byIR9pdO-jUxb,j0vwErh0-pUfx,32,24000,Propria,5,tLkf40md-OWsZ,"Educativo ",B,18000,13.11,1,NULL,byIR9pdO-jUxb,S,3
dO8sz8HM-nJOP,KtllTECc-C0Mx,gYbTiAxe-wU9v,dO8sz8HM-nJOP,21,12540,Aluguel,NULL,KtllTECc-C0Mx,Melhora_lar,A,2500,7.88,1,0.2,gYbTiAxe-wU9v,N,2
fRBCWpt8-1gxm,kA3vYlQZ-XM25,W2YUIQqe-bye5,fRBCWpt8-1gxm,23,76042,Aluguel,6,kA3vYlQZ-XM25,Melhora_lar,D,20000,15.05,1,0.26,W2YUIQqe-bye5,S,4
plcplj1W-w7gr,TQ6aSIKY-vAsx,TDP3K8WJ-kNCz,plcplj1W-w7gr,21,24000,Aluguel,5,TQ6aSIKY-vAsx,"Educativo ",A,10000,NULL,1,0.42,TDP3K8WJ-kNCz,N,2
UAfTUJN6-gqB9,e3KZNgJD-02eZ,9eJYKZTb-T2UN,UAfTUJN6-gqB9,27,58650,Hipoteca,11,e3KZNgJD-02eZ,"Medico ",A,4000,5.42,1,0.06,9eJYKZTb-T2UN,N,6
x08Ho4Kj-6zXR,2Mz6hDjD-lt85,Qfg0l7nz-bpym,x08Ho4Kj-6zXR,28,70910,Aluguel,8,2Mz6hDjD-lt85,"Medico ",E,3000,17.44,1,0.04,Qfg0l7nz-bpym,S,5
GSyg48mh-dcqT,sqks9Xsg-BPeH,73pMNaS7-FKbq,GSyg48mh-dcqT,22,28800,Aluguel,2,sqks9Xsg-BPeH,"Empreendimento ",A,14000,7.9,1,0.49,73pMNaS7-FKbq,N,2
hnwv0bTw-IWR5,9z4O4r07-i2F3,JEIz5j4M-ApWE,hnwv0bTw-IWR5,42,36000,Aluguel,8,9z4O4r07-i2F3,"Medico ",C,13000,12.73,1,0.36,JEIz5j4M-ApWE,S,16
O5mzA8KN-wtKC,LMaq9jH1-vlN0,ynZydWAO-txtl,O5mzA8KN-wtKC,35,273700,Hipoteca,8,LMaq9jH1-vlN0,"Medico ",D,25000,14.59,1,0.08,ynZydWAO-txtl,N,6
ihtMb0CH-UC7j,x37mzvSh-Q8Bt,BIFvfmg1-Eo2S,ihtMb0CH-UC7j,23,14898,Aluguel,NULL,x37mzvSh-Q8Bt,"Empreendimento ",C,6250,15.27,1,0.42,BIFvfmg1-Eo2S,N,2
RxO4l7Zj-SOh2,J0BpQcKc-DmuW,I3S4a7Yt-2rPa,RxO4l7Zj-SOh2,25,12000,Aluguel,NULL,J0BpQcKc-DmuW,Pagamento_debitos,B,3600,9.62,1,0.3,I3S4a7Yt-2rPa,N,2
5nTF5kSt-Li5j,tJMeRNEu-HKdW,3NE9mfrA-zFKp,5nTF5kSt-Li5j,23,24000,Hipoteca,2,tJMeRNEu-HKdW,"Medico ",D,5000,15.99,1,0.21,3NE9mfrA-zFKp,S,2
9oXdgps0-JS4I,lHJyf1H8-48iq,dl06GuPo-mc2q,9oXdgps0-JS4I,25,26000,Aluguel,4,lHJyf1H8-48iq,"Medico ",C,8000,12.87,1,0.31,dl06GuPo-mc2q,S,3
rJkBzlv8-512z,dTq8foon-sDOw,PKHw3ekm-1vl5,rJkBzlv8-512z,37,35000,Aluguel,NULL,dTq8foon-sDOw,Pagamento_debitos,D,8000,5.42,NULL,0.36,PKHw3ekm-1vl5,N,4
HaKLi4jT-M5wS,a33Pwu1m-UB71,77WaNrsw-Knsq,HaKLi4jT-M5wS,28,44000,Aluguel,7,a33Pwu1m-UB71,Pagamento_debitos,F,14000,19.04,1,0.32,77WaNrsw-Knsq,N,10
77ulfLkP-kTqJ,OmHTalPf-XUtd,w6rZgHlD-M5tJ,77ulfLkP-kTqJ,30,49000,Aluguel,13,OmHTalPf-XUtd,"Educativo ",B,5000,10.74,1,0.1,w6rZgHlD-M5tJ,N,10
DlQ8DEEy-xXE0,1ZZObmsF-iEzX,3laTr3Cm-WeZ1,DlQ8DEEy-xXE0,27,66300,Aluguel,1,1ZZObmsF-iEzX,"Medico ",D,9600,NULL,1,0.12,3laTr3Cm-WeZ1,N,7
GcZhtond-jP4s,WWSKshGg-oppj,Fwt4od5n-v70Y,GcZhtond-jP4s,27,258000,Aluguel,11,WWSKshGg-oppj,"Educativo ",E,35000,18.64,1,0.14,Fwt4od5n-v70Y,S,7
AyRnlhYs-2sWu,FYsX8als-cQBj,nChtLOUU-h0IL,AyRnlhYs-2sWu,37,14400,Aluguel,2,FYsX8als-cQBj,"Pessoal ",A,6950,7.66,1,0.48,nChtLOUU-h0IL,N,13
UOqyub4Q-QGrc,FLP6m5qA-BkUF,OORCZIHy-rSqQ,UOqyub4Q-QGrc,31,10800,Aluguel,4,FLP6m5qA-BkUF,"Medico ",C,2000,14.72,1,0.19,OORCZIHy-rSqQ,S,6
fPYDDx23-QriF,lts9Wky7-Fz3b,5U9nFSn7-ICtJ,fPYDDx23-QriF,24,47292,Aluguel,4,lts9Wky7-Fz3b,"Medico ",D,10000,16.32,1,0.21,5U9nFSn7-ICtJ,S,3
9rOwdewg-dscR,tAECKApG-BwoQ,J3Hcv8DE-ZaPY,9rOwdewg-dscR,22,22292,Aluguel,5,tAECKApG-BwoQ,Pagamento_debitos,D,3500,16.49,1,0.16,J3Hcv8DE-ZaPY,N,3
nIMvecfo-Q3Er,KZZ0BZZR-nhso,QDcxebvS-7azr,nIMvecfo-Q3Er,24,36000,Aluguel,1,KZZ0BZZR-nhso,"Pessoal ",B,8000,12.12,1,0.22,QDcxebvS-7azr,N,4
GOABmkNk-XdQC,fT81TpqF-e4Iw,TkdMCWCd-NOhr,GOABmkNk-XdQC,21,18000,Propria,5,fT81TpqF-e4Iw,"Empreendimento ",B,3375,NULL,1,0.19,TkdMCWCd-NOhr,N,2
y8bO2Cwc-NeT3,GqhghpxX-bzE8,2OvxPDKh-Tl5G,y8bO2Cwc-NeT3,21,26400,Aluguel,6,GqhghpxX-bzE8,Pagamento_debitos,A,3500,8.49,1,0.13,2OvxPDKh-Tl5G,N,3
vOuxnAZO-BdG2,hUl9JgBu-z62y,DFi2Lvrr-MzXr,vOuxnAZO-BdG2,39,33100,Aluguel,3,hUl9JgBu-z62y,Pagamento_debitos,C,8000,14.26,1,0.24,DFi2Lvrr-MzXr,S,12
4wMpudKW-Azry,AeI0T8mt-yO03,ncvUCH1Q-ybWh,4wMpudKW-Azry,27,39000,Aluguel,4,AeI0T8mt-yO03,Pagamento_debitos,B,7200,10.65,1,0.18,ncvUCH1Q-ybWh,N,5
JvI9ZqDY-DWDJ,qc25Tpjb-YBv6,rKdRFlC7-UC2t,JvI9ZqDY-DWDJ,40,108000,Hipoteca,7,qc25Tpjb-YBv6,Pagamento_debitos,D,6000,17.27,1,0.06,rKdRFlC7-UC2t,N,16
PWssJR75-znHR,CO3Boxxl-8vAB,bcHsqRut-as0k,PWssJR75-znHR,24,32304,Aluguel,8,CO3Boxxl-8vAB,"Medico ",B,1500,9.91,1,0.05,bcHsqRut-as0k,N,3
ZY1UpKrt-ttu4,YB7q14n0-WfrE,FXDDLUJ2-iWbC,ZY1UpKrt-ttu4,38,59475,Hipoteca,10,YB7q14n0-WfrE,"Medico ",D,18125,14.84,1,0.26,FXDDLUJ2-iWbC,S,13
lYACUeps-EMRE,GMJUW1D0-IJ6w,NW5u1JmK-0oN5,lYACUeps-EMRE,24,61200,Hipoteca,9,GMJUW1D0-IJ6w,"Medico ",B,13500,10.83,1,0.19,NW5u1JmK-0oN5,N,2
X5sLBe45-oCX4,DttNX5Ti-K0jK,fZbBIdZw-m7re,X5sLBe45-oCX4,21,28000,Aluguel,3,DttNX5Ti-K0jK,"Educativo ",B,8000,10.99,1,0.29,fZbBIdZw-m7re,N,2
rvL3ElMh-k0bF,CIiqEqbD-FZD0,jG6GxMab-cDyO,rvL3ElMh-k0bF,22,42000,Aluguel,2,CIiqEqbD-FZD0,"Medico ",D,12000,15.65,1,0.29,jG6GxMab-cDyO,S,3
llrBpbhc-ZUY5,v69U1Sm2-8qXK,1NjeT1dZ-S2we,llrBpbhc-ZUY5,24,78000,Aluguel,4,v69U1Sm2-8qXK,Pagamento_debitos,D,30000,NULL,1,0.38,1NjeT1dZ-S2we,S,4
T8jzUGBd-DwbF,W1BWSE5a-wY2X,dvqj2IX0-c2uD,T8jzUGBd-DwbF,28,78200,Hipoteca,12,W1BWSE5a-wY2X,"Medico ",D,20000,NULL,1,0.22,dvqj2IX0-c2uD,S,5
AUZMEThu-PM5H,RBKLJttd-WAmj,2Pig713b-ut6o,AUZMEThu-PM5H,25,50000,Aluguel,2,RBKLJttd-WAmj,"Medico ",E,7000,15.57,1,0.14,2Pig713b-ut6o,N,3
UjWau6ze-ZGBj,Q5DmyShC-z4MM,c1Es9hwF-88Zj,UjWau6ze-ZGBj,31,18000,Aluguel,6,Q5DmyShC-z4MM,"Educativo ",C,4000,12.84,1,0.22,c1Es9hwF-88Zj,N,5
Raw3qNz6-sp5J,4YNBjFt8-2L1w,gwnxd465-zNqp,Raw3qNz6-sp5J,27,62900,Hipoteca,1,4YNBjFt8-2L1w,"Medico ",B,8000,11.46,1,0.11,gwnxd465-zNqp,N,8
eD6jokmx-efjz,Nu62Ju84-CTHb,KbxA4yj8-hHoX,eD6jokmx-efjz,34,35000,Aluguel,2,Nu62Ju84-CTHb,"Empreendimento ",B,15000,10.99,1,0.43,KbxA4yj8-hHoX,N,5
F54DfAwW-tsT6,I3c5KamP-P5R8,p3pIvLDZ-k8QI,F54DfAwW-tsT6,24,52000,Hipoteca,8,I3c5KamP-P5R8,"Educativo ",D,5000,15.28,1,0.1,p3pIvLDZ-k8QI,N,4
txNhZjSU-JBot,OF7biIUe-M94S,mXcojD74-pHki,txNhZjSU-JBot,22,41000,Aluguel,3,OF7biIUe-M94S,Pagamento_debitos,C,15000,12.73,1,0.37,mXcojD74-pHki,N,3
wBIlOptl-jfvn,4qWQT7R6-qzXP,GmrY0YvB-GNOA,wBIlOptl-jfvn,22,44582,Aluguel,6,4qWQT7R6-qzXP,Melhora_lar,A,4000,5.99,1,0.09,GmrY0YvB-GNOA,N,4
50MlXshr-1y7D,YkYyRcOX-fLMD,ASF9xjnc-k0rD,50MlXshr-1y7D,23,74800,Aluguel,1,YkYyRcOX-fLMD,"Medico ",E,20000,17.04,1,0.23,ASF9xjnc-k0rD,S,3
rd9CXZum-qLeO,nSDWxcON-2MRi,prXHzn2X-3Dsa,rd9CXZum-qLeO,21,12000,Aluguel,NULL,nSDWxcON-2MRi,"Empreendimento ",B,3200,11.49,1,0.27,prXHzn2X-3Dsa,N,2
3iQxLIgC-FdLr,wbzKmHxr-CTgj,JndcNrtl-RaMz,3iQxLIgC-FdLr,40,96050,Aluguel,3,wbzKmHxr-CTgj,"Medico ",D,11000,16.77,1,0.1,JndcNrtl-RaMz,N,16
pfdpiWbW-H1u5,yfPZQYDl-qIFF,qgQKK5Pz-IoMz,pfdpiWbW-H1u5,30,111000,Hipoteca,2,yfPZQYDl-qIFF,Melhora_lar,G,12500,19.04,1,0.11,qgQKK5Pz-IoMz,N,8
tYDTXscR-kGUp,h3fOAvY4-ipTC,DevAg5Tx-DOkb,tYDTXscR-kGUp,26,50000,Aluguel,7,h3fOAvY4-ipTC,"Empreendimento ",A,20500,7.49,1,0.41,DevAg5Tx-DOkb,N,3
BGEXfF3I-MPDw,pcC2Kx3I-lbHI,Re7Gtml0-8aAj,BGEXfF3I-MPDw,28,15000,Propria,2,pcC2Kx3I-lbHI,"Pessoal ",B,4375,12.42,1,0.29,Re7Gtml0-8aAj,N,9
XU6EK79e-k92m,W80GHQGW-bQrU,ykcwl8xb-iYRi,XU6EK79e-k92m,26,52703,Hipoteca,5,W80GHQGW-bQrU,"Medico ",B,4000,11.89,1,0.06,ykcwl8xb-iYRi,N,4
Q2JrejmJ-pRmb,m0Jx92BZ-zb6C,rsJeTWdq-ApGo,Q2JrejmJ-pRmb,23,76268,Hipoteca,7,m0Jx92BZ-zb6C,Pagamento_debitos,B,15000,11.89,1,0.2,rsJeTWdq-ApGo,N,2
mBSCKQG7-0367,vsm8jyTg-wQpg,b5Ec3pNz-fYpl,mBSCKQG7-0367,25,59000,Hipoteca,9,vsm8jyTg-wQpg,Pagamento_debitos,A,5000,6.03,1,0.08,b5Ec3pNz-fYpl,N,2
fXzRzb2U-y7md,u0zWNl2D-cH3f,Bwru7b4u-AyoI,fXzRzb2U-y7md,22,26000,Aluguel,NULL,u0zWNl2D-cH3f,"Educativo ",A,8500,6.17,1,0.33,Bwru7b4u-AyoI,N,3
Ja6p8ZIz-2t1U,sCG95lLH-qMqU,2eQsfnfl-N6Zn,Ja6p8ZIz-2t1U,34,31800,Hipoteca,NULL,sCG95lLH-qMqU,"Pessoal ",A,1700,NULL,1,0.05,2eQsfnfl-N6Zn,N,9
ShAfsNmp-0DuU,t6gDj5k7-2oIY,oekaUoTF-Z2XI,ShAfsNmp-0DuU,28,54600,Hipoteca,13,t6gDj5k7-2oIY,"Educativo ",B,20000,11.89,1,0.37,oekaUoTF-Z2XI,N,5
OcNDxbPM-rlN8,XBMi1q45-tNO5,1YrBakc2-y77Y,OcNDxbPM-rlN8,21,32000,Aluguel,6,XBMi1q45-tNO5,"Pessoal ",C,15000,15.27,1,0.47,1YrBakc2-y77Y,S,3
Rb8rEG8L-xyuB,vW426mon-LqX0,gNAdjrzH-Nhnc,Rb8rEG8L-xyuB,23,53950,Hipoteca,8,vW426mon-LqX0,"Educativo ",E,15000,16.63,1,0.28,gNAdjrzH-Nhnc,S,2
